"Berth_Type","Berth_Name","Port_Country","Vessel_Class","Estimated_Quantity","Vessel_Imo","Arrival_Time","Departure_Time","Vessel_Destination_On_Departure","Vessel_Name","Maps_Der","Vessel_Capacity","Eta_For_Next_Destination_Change","Berth_Name_clean","Vessel_Destination_clean","n_viajes","vol_total","pct_vol","pct_acum"
"Imports","Europoort 8","Netherlands","Tanker-Suezmax",164203,9406013,46224,46226,"COCVE_NLRTM","CAPE BENAT","IMO 9406013",167554,46231,"Europoort","Cocve Nlrtm",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Corpus Christi 10","United States of America","Tanker-LR2",123162,9783423,46224,46226,"Rotterdam","RONG LIN WAN","IMO 9783423",125675,46248,"Corpus Christi","Rotterdam",15,2220931,0.0179816064877709,0.19205616277906
"Exports","Westridge_Alberta","Canada","Tanker-Aframax",122901,9952074,46224,46226,"US LGB (LONG BEACH)","ESTEEM COWBOY","IMO 9952074",125409,NA,"Westridge Alberta","Us Lgb",14,1601455,0.0129660640595647,0.355665843829454
"Imports","Punto Franco 1","Italy","Tanker-Aframax",121314,9953901,46225,46226,"Mellitah","NEW ALLIANCE","IMO 9953901",123790,46230,"Punto Franco","Mellitah",18,2401607,0.0194444365954079,0.118859747426929
"Exports","Muscat 1","Oman","Tanker-VLCC",321763,9731157,46223,46226,"OM  RMK","OLYMPIC LUNA","IMO 9731157",328330,46232,"Muscat","Om Rmk",8,2453421,0.0198639448820487,0.0994153108315211
"Imports/Exports","Corpus Christi 1","United States of America","Tanker-Suezmax",163885,9877171,46224,46226,"Madre de Deus","SPYROS","IMO 9877171",167230,NA,"Corpus Christi","Madre De Deus",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Dalian W","China","Tanker-LR2",115563,9283265,46226,46226,"Changxingdao","YANG LIN WAN","IMO 9283265",117921,NA,"Dalian","Changxingdao",10,1603662,0.0129839328747231,0.342699779769889
"Exports","Acu Superport","Brazil","Tanker-Suezmax",161525,9831854,46223,46226,"Trieste","FRONT SEOUL","IMO 9831854",164821,46205,"Acu","Trieste",6,1294661,0.0104821287275759,0.424189891922977
"Imports","Jamnagar Terminal 1","India","Tanker-LR1",73768,9270488,46224,46226,"Suez","MOONI","IMO 9270488",75273,NA,"Jamnagar Terminal","Suez",17,3243791,0.0262631181655678,0.056397785960693
"Exports","Gebig","Brazil","Tanker-Suezmax",164049,9416733,46224,46226,"Rotterdam","FRATERNITY","IMO 9416733",167397,NA,"Gebig","Rotterdam",10,2274339,0.0184140204796053,0.155707624633144
"Imports","Huizhou 3","China","Tanker-Panamax",69673,9846029,46226,46226,"Hui Zhou","YUAN AN HU","IMO 9846029",71095,NA,"Huizhou","Hui Zhou",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Qingdao 4","China","Tanker-Aframax",115577,9487172,46225,46226,"DONG JIA KOU","YONG DING HE","IMO 9487172",117936,46227,"Qingdao","Dong Jia Kou",6,1321542,0.0106997687911338,0.403186698748706
"Exports","Corpus Christi 2","United States of America","Tanker-LR2",140577,9892987,46225,46226,"LTBOT","ATLANTIC JADE","IMO 9892987",143446,NA,"Corpus Christi","Ltbot",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Tianjin oil","China","Tanker-VLCC",325546,9727194,46223,46226,"Charco Azul","COSWISDOM LAKE","IMO 9727194",332190,NA,"Tianjin Oil","Charco Azul",5,1138241,0.00921568556170669,0.471254747957528
"Imports","Ningbo 3","China","Tanker-Panamax",78699,9312614,46224,46226,"QHD326","FENG HUANG ZUO","IMO 9312614",80305,46228,"Ningbo","Qhd326",7,1532763,0.0124099042721341,0.380630286951878
"Imports","Europoort 13","Netherlands","Tanker-Aframax",121310,9938030,46225,46226,"Rotterdam","STRYMON","IMO 9938030",123786,46229,"Europoort","Rotterdam",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Jamnagar Terminal 2","India","Tanker-LR2",120247,9388728,46225,46226,"Sikka","BYZANTIUM","IMO 9388728",122701,46236,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Maasvlakte","Netherlands","Tanker-Suezmax",163856,1035545,46225,46226,"Rotterdam","NISSOS PIPERI","IMO 1035545",167200,46210,"Maasvlakte","Rotterdam",7,1755348,0.014212047553524,0.301959666562242
"Imports","Paradip VLCC","India","Tanker-Suezmax",169834,9633446,46225,46226,"Chennai","NOVO","IMO 9633446",173300,46232,"Paradip Vlcc","Chennai",6,1173418,0.00950049358654867,0.443382108613621
"Exports","Fujairah 5","United Arab Emirates","Tanker-VLCC",330248,9595618,46225,46226,"Visakhapatnam","C. INNOVATOR","IMO 9595618",336988,NA,"Fujairah","Visakhapatnam",12,2859728,0.0231535799887795,0.0795513659494724
"Imports","Dalian 4","China","Tanker-Panamax",77164,1086714,46225,46226,"Panjin","YU NENG KUN PENG","IMO 1086714",78739,46227,"Dalian","Panjin",10,1603662,0.0129839328747231,0.342699779769889
"Imports","Ulsan S","South Korea","Tanker-VLCC",315722,9915569,46225,46226,"Singapore","GRAND BONANZA","IMO 9915569",322165,46236,"Ulsan","Singapore",7,2268523,0.0183669316581458,0.17407455629129
"Exports","Gebig","Brazil","Tanker-Suezmax",163862,9594822,46225,46226,"Gdansk","EAGLE SAN ANTONIO","IMO 9594822",167206,46221,"Gebig","Gdansk",10,2274339,0.0184140204796053,0.155707624633144
"Exports","Fujairah 6","United Arab Emirates","Tanker-Suezmax",164199,9493779,46225,46226,"Sohar","SMYRNI","IMO 9493779",167550,46238,"Fujairah","Sohar",12,2859728,0.0231535799887795,0.0795513659494724
"Exports","Mongstad 1","Norway","Tanker-Suezmax",160720,9889942,46225,46226,"Gdansk","KANARIS 21","IMO 9889942",164000,NA,"Mongstad","Gdansk",9,1111076,0.00899574611278176,0.48025049407031
"Exports","Basra Oil Terminal SPM 3","Iraq","Tanker-VLCC",334693,9389899,46223,46226,"SAUDI OPL","BRUNEI PROSPERITY","IMO 9389899",341523,NA,"Basra","Saudi Opl",4,1299470,0.0105210644466954,0.413707763195401
"Exports","Fujairah 15","United Arab Emirates","Tanker-VLCC",330367,9452672,46224,46225,"MINA AL FAHAL OMAN","MESDAR","IMO 9452672",337109,NA,"Fujairah","Mina Al Fahal Oman",12,2859728,0.0231535799887795,0.0795513659494724
"Imports","Huizhou 4","China","Tanker-Aframax",111384,9435296,46224,46225,"EN PING TMNL","BEI HAI WEI WANG","IMO 9435296",113657,46229,"Huizhou","En Ping Tmnl",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Richmond 1","United States of America","Tanker-Suezmax",158472,9244063,46225,46225,"MRZ3","POLAR ADVENTURE","IMO 9244063",161706,NA,"Richmond","Mrz3",7,1014867,0.00821679693399955,0.496704288524544
"Imports","Maasvlakte","Netherlands","Tanker-VLCC",322133,9709087,46223,46225,"Rotterdam","VIETNAM PROSPERITY","IMO 9709087",328707,46246,"Maasvlakte","Rotterdam",7,1755348,0.014212047553524,0.301959666562242
"Imports","Maasvlakte","Netherlands","Tanker-VLCC",315723,9933561,46223,46225,"Rotterdam","ADVANTAGE VITAL","IMO 9933561",322166,46226,"Maasvlakte","Rotterdam",7,1755348,0.014212047553524,0.301959666562242
"Imports","Taesan 2","South Korea","Tanker-VLCC",318817,9837614,46224,46225,"Daesan-Seosan","UNIVERSAL PARTNER","IMO 9837614",325323,46223,"Taesan","Daesan-Seosan",5,1197037,0.00969172310409543,0.433881615027073
"Imports","Universal 2","Singapore","Tanker-LR2",116309,9614062,46224,46225,"Singapore","AN XING ZUO","IMO 9614062",118683,46227,"Universal","Singapore",8,1159542,0.00938814756065938,0.452770256174281
"Imports","Richmond 1","United States of America","Tanker-LR2",122500,1084455,46224,46225,"Esmeraldas","FRONTIER VENTURE","IMO 1084455",125000,46220,"Richmond","Esmeraldas",7,1014867,0.00821679693399955,0.496704288524544
"Exports","George Town","Guyana","Tanker-Suezmax",161887,9817626,46219,46225,"Brofjorden","PRIMEWAY","IMO 9817626",165191,NA,"George Town","Brofjorden",12,2127689,0.017226679408932,0.209282842187992
"Imports","Mumbai 4","India","Tanker-Suezmax",164150,9905320,46222,46225,"INMUM","AFRICA","IMO 9905320",167500,46230,"Mumbai","Inmum",12,1717300,0.0139039946857642,0.315863661248006
"Imports","Chiba 12","Japan","Tanker-VLCC",324302,9900655,46224,46225,"HK CN","NEW ERA","IMO 9900655",330920,46231,"Chiba","Hk Cn",7,2276789,0.0184338567266094,0.137293604153538
"Imports","Yeosu 3","South Korea","Tanker-VLCC",332403,9834430,46224,46225,"Singapore","SAN RAMON VOYAGER","IMO 9834430",339187,46276,"Yeosu","Singapore",7,2054393,0.0166332436699884,0.225916085857981
"Imports","Europoort 13","Netherlands","Tanker-Aframax",122985,9802164,46223,46225,"Rotterdam","SEA PANTHER","IMO 9802164",125495,46234,"Europoort","Rotterdam",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Dalian 10","China","Tanker-VLCC",328739,9593191,46224,46225,"Singapore","MARAN CLEO","IMO 9593191",335448,46235,"Dalian","Singapore",10,1603662,0.0129839328747231,0.342699779769889
"Imports","Europoort 2","Netherlands","Tanker-Suezmax",166300,9533995,46223,46225,"FOR ORERS","NGM RUBY","IMO 9533995",169694,46226,"Europoort","For Orers",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Westridge_Alberta","Canada","Tanker-LR1",76689,9761944,46224,46225,"Vancouver (CA)","SUNRAY","IMO 9761944",78254,NA,"Westridge Alberta","Vancouver",14,1601455,0.0129660640595647,0.355665843829454
"Imports","Dalian 4","China","Tanker-Panamax",78791,9344837,46223,46225,"PAN JIN","LIAN SHENG HU","IMO 9344837",80399,46226,"Dalian","Pan Jin",10,1603662,0.0129839328747231,0.342699779769889
"Exports","Corpus Christi 5","United States of America","Tanker-Aframax",121177,9592240,46224,46225,"Houston Bayport","AQUALEGEND","IMO 9592240",123650,46229,"Corpus Christi","Houston Bayport",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Mumbai 3","India","Tanker-Aframax",122032,9243021,46223,46225,"Vadinar","DESH RAKSHAK","IMO 9243021",124522,46236,"Mumbai","Vadinar",12,1717300,0.0139039946857642,0.315863661248006
"Imports","Ulsan","South Korea","Tanker-VLCC",324282,1100716,46224,46225,"Incheon","EMPIRE HOPE","IMO 1100716",330900,46227,"Ulsan","Incheon",7,2268523,0.0183669316581458,0.17407455629129
"Exports","Corpus Christi 6","United States of America","Tanker-Suezmax",202605,9244661,46223,46225,"USIGS","ALASKAN EXPLORER","IMO 9244661",206740,NA,"Corpus Christi","Usigs",15,2220931,0.0179816064877709,0.19205616277906
"Exports","Gebig","Brazil","Tanker-Suezmax",167576,9453846,46222,46225,"Madre de Deus","ANDRE REBOUCAS","IMO 9453846",170996,NA,"Gebig","Madre De Deus",10,2274339,0.0184140204796053,0.155707624633144
"Imports","Oiltanking Helios 3","Singapore","Tanker-VLCC",317314,9535797,46220,46224,"Singapore","NEW PEACE","IMO 9535797",323790,46238,"Oiltanking Helios","Singapore",7,1973973,0.0159821289826134,0.258429848347358
"Imports","Jamnagar Terminal 2","India","Tanker-Aframax",118644,9370850,46223,46224,"Sikka","SYROS WARRIOR","IMO 9370850",121065,46227,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Huizhou 4","China","Tanker-Panamax",78790,9303699,46223,46224,"Hui Zhou","JIN NIU ZUO","IMO 9303699",80398,46224,"Huizhou","Hui Zhou",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Dalian 4","China","Tanker-LR2",115563,9283265,46222,46224,"Changxingdao","YANG LIN WAN","IMO 9283265",117921,NA,"Dalian","Changxingdao",10,1603662,0.0129839328747231,0.342699779769889
"Imports","Ulsan","South Korea","Tanker-VLCC",332717,9605190,46223,46224,"Yosu","C. INFINITY","IMO 9605190",339507,NA,"Ulsan","Yosu",7,2268523,0.0183669316581458,0.17407455629129
"Imports","Kagoshima 5","Japan","Tanker-Aframax",136497,9617038,46222,46224,"Yokohama","TOKYO MARU","IMO 9617038",139283,NA,"Kagoshima","Yokohama",5,1464429,0.0118566430056944,0.392486929957572
"Imports","Jamnagar Terminal 2","India","Tanker-Aframax",121402,9547702,46223,46224,"Colombo","GARRINCHA","IMO 9547702",123880,46252,"Jamnagar Terminal","Colombo",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Gwangyang 2","South Korea","Tanker-VLCC",321041,9759824,46223,46224,"Yosu","AGIOS FANOURIOS I","IMO 9759824",327593,NA,"Gwangyang","Yosu",7,2041843,0.0165316335067634,0.242447719364744
"Imports","Richmond 1","United States of America","Tanker-Aframax",122154,9394959,46221,46224,"Los Angeles - Long Beach_mini","SEAWAYS YOSEMITE","IMO 9394959",124647,46257,"Richmond","Los Angeles - Long Beach Mini",7,1014867,0.00821679693399955,0.496704288524544
"Imports","Chiba 12","Japan","Tanker-VLCC",320507,9928657,46223,46224,"Singapore","HELLAS PALIROS","IMO 9928657",327048,46234,"Chiba","Singapore",7,2276789,0.0184338567266094,0.137293604153538
"Exports","Basra Oil Terminal SPM 1","Iraq","Tanker-VLCC",318216,9327114,46221,46224,"Basrah","BAHAMAS PROSPERITY","IMO 9327114",324710,46221,"Basra","Basrah",4,1299470,0.0105210644466954,0.413707763195401
"Exports","Fujairah 5","United Arab Emirates","Tanker-VLCC",334102,9603207,46222,46224,"Dalian","HE AN HAI","IMO 9603207",340920,NA,"Fujairah","Dalian",12,2859728,0.0231535799887795,0.0795513659494724
"Exports","George Town","Guyana","Tanker-Suezmax",164616,9412098,46221,46224,"FOR ORDER","PHAETHON","IMO 9412098",167975,NA,"George Town","For Order",12,2127689,0.017226679408932,0.209282842187992
"Exports","Westridge_Alberta","Canada","Tanker-LR2",122187,9829100,46222,46224,"Vancouver (CA)","TYRRHENIAN SEA","IMO 9829100",124681,46241,"Westridge Alberta","Vancouver",14,1601455,0.0129660640595647,0.355665843829454
