"Berth_Type","Berth_Name","Port_Country","Vessel_Class","Estimated_Quantity","Vessel_Imo","Arrival_Time","Departure_Time","Vessel_Destination_On_Departure","Vessel_Name","Maps_Der","Vessel_Capacity","Eta_For_Next_Destination_Change","Berth_Name_clean","Vessel_Destination_clean","n_viajes","vol_total","pct_vol","pct_acum"
"Imports","Zhoushan 1","China","Tanker-VLCC",294000,9614050,46231,46233,"Singapore","XIN LIAN YANG","IMO 9614050",3e+05,NA,"Zhoushan","Singapore",7,1842371,0.0149166229506819,0.27334647129804
"Exports","Corpus Christi 6","United States of America","Tanker-LR2",122766,9692832,46232,46233,"Ashkelon","CAPTAIN JOHN","IMO 9692832",125271,46257,"Corpus Christi","Ashkelon",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Europoort 7","Netherlands","Tanker-LR2",123516,9759800,46231,46233,"Houston","SEARANGER","IMO 9759800",126037,NA,"Europoort","Houston",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Kawasaki S","Japan","Tanker-VLCC",332172,9794018,46233,46233,"Tokyo","MIRACLE HOPE","IMO 9794018",338951,NA,"Kawasaki","Tokyo",6,1778704,0.0144011477106781,0.287747619008718
"Imports","Mumbai 4","India","Tanker-Aframax",117208,9343338,46231,46233,"Fujairah","ALJALAA","IMO 9343338",119600,NA,"Mumbai","Fujairah",12,1717300,0.0139039946857642,0.315863661248006
"Imports","Europoort 13","Netherlands","Tanker-LR2",123147,9893216,46231,46233,"Istanbul","ON PRECIOUS","IMO 9893216",125660,46238,"Europoort","Istanbul",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","George Town","Guyana","Tanker-Suezmax",159324,9742912,46230,46233,"ONE GUYANA","SILVERWAY","IMO 9742912",162576,46230,"George Town","One Guyana",12,2127689,0.017226679408932,0.209282842187992
"Imports","Ulsan S","South Korea","Tanker-VLCC",318167,9398058,46231,46233,"PANAMA","NEW PROSPECT","IMO 9398058",324660,NA,"Ulsan","Panama",7,2268523,0.0183669316581458,0.17407455629129
"Imports","Dalian 4","China","Tanker-LR1",77956,9295074,46231,46233,"Tianjin","YONG XING ZHOU","IMO 9295074",79547,NA,"Dalian","Tianjin",10,1603662,0.0129839328747231,0.342699779769889
"Imports","Chiba 12","Japan","Tanker-VLCC",330099,9827360,46232,46233,"Singapore","FUJISAN MARU","IMO 9827360",336836,46242,"Chiba","Singapore",7,2276789,0.0184338567266094,0.137293604153538
"Exports","Basra Oil Terminal SPM 1","Iraq","Tanker-VLCC",328257,9418066,46230,46233,"Basrah","PERU PROSPERITY","IMO 9418066",334956,46236,"Basra","Basrah",4,1299470,0.0105210644466954,0.413707763195401
"Imports","Maasvlakte","Netherlands","Tanker-Aframax",124587,9818058,46231,46233,"Rotterdam","ASPEN","IMO 9818058",127130,NA,"Maasvlakte","Rotterdam",7,1755348,0.014212047553524,0.301959666562242
"Exports","Mongstad 1","Norway","Tanker-LR2",119844,9792840,46232,46233,"Skagen","HAIFENG","IMO 9792840",122290,46238,"Mongstad","Skagen",9,1111076,0.00899574611278176,0.48025049407031
"Imports","Ningbo 3","China","Tanker-VLCC",320764,9783693,46230,46233,"Ras Tanura","AMAD","IMO 9783693",327310,NA,"Ningbo","Ras Tanura",7,1532763,0.0124099042721341,0.380630286951878
"Imports","Maasvlakte","Netherlands","Tanker-Suezmax",163886,9868156,46231,46233,"Rotterdam","MARAN PHOEBE","IMO 9868156",167231,46245,"Maasvlakte","Rotterdam",7,1755348,0.014212047553524,0.301959666562242
"Exports","Es Sider","Libya","Tanker-Aframax",121170,9356438,46232,46233,"Genova","ALYARMOUK","IMO 9356438",123643,46237,"Es Sider","Genova",8,1017362,0.00823699752023433,0.488487491590544
"Imports","Ningbo 6","China","Tanker-Panamax",75540,9308974,46231,46233,"Jingtang (Tangshan)","LIAN AN HU","IMO 9308974",77082,NA,"Ningbo","Jingtang",7,1532763,0.0124099042721341,0.380630286951878
"Exports","George Town","Guyana","Tanker-Suezmax",160381,1030399,46228,46233,"LIZA GUYANA","AESOP","IMO 1030399",163654,46247,"George Town","Liza Guyana",12,2127689,0.017226679408932,0.209282842187992
"Exports","CPC Ceyhan","Turkey","Tanker-LR2",123079,9722596,46232,46233,"Augusta","STI JERMYN","IMO 9722596",125591,NA,"Ceyhan","Augusta",9,1144802,0.00926880622154091,0.462039062395822
"Imports","Mumbai 3","India","Tanker-Suezmax",159015,9941867,46231,46232,"Trincomalee","BREST","IMO 9941867",162260,NA,"Mumbai","Trincomalee",12,1717300,0.0139039946857642,0.315863661248006
"Imports","Jamnagar Terminal 2","India","Tanker-Aframax",121110,9346720,46231,46232,"Sikka","KIRA K","IMO 9346720",123582,NA,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
