"Reporter","Product","Partner","Tariff Year","DutyType","Reporter Name","Product Name","Partner Name","Simple Average","Nbr of Total Lines","Weighted Average"
"276","270900","178",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Congo, Rep.",,,
"276","270900","178",2023,"MFN","Germany","270900 --  Petroleum oils and oils obtained from b","Congo, Rep.",0,2,0
"276","270900","266",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Gabon",0,2,0
"276","270900","266",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Gabon",,,
"276","270900","266",2023,"MFN","Germany","270900 --  Petroleum oils and oils obtained from b","Gabon",0,2,0
"276","270900","328",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Guyana",0,2,0
"276","270900","328",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Guyana",,,
"276","270900","328",2023,"MFN","Germany","270900 --  Petroleum oils and oils obtained from b","Guyana",0,2,0
"276","270900","368",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Iraq",0,2,0
"276","270900","368",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Iraq",,,
"276","270900","368",2023,"MFN","Germany","270900 --  Petroleum oils and oils obtained from b","Iraq",0,2,0
"276","270900","434",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Libya",0,2,0
"276","270900","434",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Libya",,,
